block_group,lat,lon,population,vehicles,renter_share,demand_A,demand_B,demand
060855093042,37.41286010082594,-122.0927252753794,1481,683,0.6009463722397477,68.3,136.7615930599369,68.3
060855094041,37.405303633482845,-122.10634093717037,1489,562,0.2922297297297297,56.2,69.15827702702703,56.2
060855094012,37.40706044466369,-122.11640087928572,1058,475,0.39050131926121373,47.5,70.12203166226912,47.5
060855094013,37.40421048214704,-122.11373007067745,1425,1152,1.0,115.2,345.59999999999997,115.2
060855091084,37.398753607562554,-122.05320944733289,1232,729,0.39365671641791045,72.9,108.19393656716419,72.9
060855095003,37.39269855013666,-122.08801668904664,1513,838,0.7341040462427746,83.80000000000001,195.69479768786127,83.80000000000001
060855096001,37.38727979034635,-122.08373294303509,1057,836,0.9425287356321839,83.60000000000001,238.7885057471264,83.60000000000001
060855097003,37.382942278769,-122.07225189249434,1066,610,0.2785571142284569,61.0,72.97995991983967,61.0
060855098014,37.37696050882627,-122.09150405043869,1914,605,0.1779935275080906,60.5,57.1715210355987,60.5
060855091021,37.392061869057,-122.03734548898758,2148,1293,0.47839831401475236,129.3,219.29225500526871,129.3
060855091022,37.39127479553228,-122.04311957244703,1541,772,0.8746594005449592,77.2,207.40926430517712,77.2
060855091061,37.38214532908047,-122.04937876941416,1514,618,0.7909698996655519,61.800000000000004,153.10484949832775,61.800000000000004
060855091072,37.37671552120325,-122.05816544424675,1367,823,1.0,82.30000000000001,246.89999999999998,82.30000000000001
060855091082,37.40069721840671,-122.06711257493428,787,503,0.8741258741258742,50.300000000000004,135.07132867132867,50.300000000000004
060855091081,37.40510920419563,-122.06637829838999,1169,505,0.43734643734643736,50.5,80.46498771498771,50.5
060855091083,37.40424350562275,-122.05985128526831,1361,534,0.4684873949579832,53.400000000000006,89.24306722689076,53.400000000000006
060855091091,37.390636424630365,-122.05568525023482,2448,1223,0.4758909853249476,122.30000000000001,206.6536687631027,122.30000000000001
060855092011,37.395433663580384,-122.07476533450472,1441,678,0.6126126126126126,67.8,137.73783783783782,67.8
060855092012,37.40116817769945,-122.07706422240388,1500,424,0.7642642642642643,42.400000000000006,102.21201201201202,42.400000000000006
060855092013,37.39764925004424,-122.07209276669845,1009,953,0.7785817655571635,95.30000000000001,233.14710564399422,95.30000000000001
060855104001,37.39570055680969,-122.10901775137329,2277,977,0.39552238805970147,97.7,145.45634328358207,97.7
060855104002,37.39083231034853,-122.10895370523335,666,249,0.1875,24.900000000000002,24.121875000000003,24.900000000000002
