station_name,lat,lon
Mountain View High School,37.360757,-122.065743
Computer History Museum - Tesla Supercharger,37.415328,-122.076575
Holiday Inn Express - Tesla Destination,37.389431,-122.092061
Hotel Vue - Tesla Destination,37.381445,-122.074197
W. El Camino Real (2440),37.398645,-122.108206
ZICO EVC Hotel Zico,37.37974,-122.06872
Essex Arlo (1030 Castro St),37.385227,-122.08438
1328 W El Camino Real,37.388739,-122.089277
CBW Properties - W El Camino,37.389553,-122.092531
CBW Properties - Central Ave,37.396167,-122.075767
Hotel Strata,37.381552,-122.075918
The Dean Apartments,37.404153,-122.112013
Walmart (600 Showers Dr),37.40098,-122.10866
189 N Bernardo Ave,37.386278,-122.051469
East Middlefield Road (199),37.397666,-122.062063
PF - Dana St,37.386156,-122.065531
Best Buy - E El Camino Real,37.375758,-122.063126
Park Plaza Apartments,37.401167,-122.094361
Nob Hill Foods (1250 Grant Rd),37.378474,-122.075627
The Redwoods,37.406439,-122.092526
Graham Middle School,37.381173,-122.08481
Imai Elementary,37.374313,-122.075145
Mistral Elementary,37.395283,-122.094086
Vargas Elementary,37.392987,-122.061715
Bubb Elementary,37.378234,-122.081814
Castro Elementary,37.394025,-122.092044
PF - Whisman (301 N Whisman Rd),37.397528,-122.05892
Ramada Hotel (55 Fairchild Dr),37.406022,-122.064005
El Monte Center - Tesla Supercharger,37.389672,-122.095731
Mountain View Memory Care,37.386306,-122.085352
Monta Loma Plaza,37.41114,-122.09347
Palo Alto Plaza (541 Del Medio),37.404303,-122.115173
99 Market Ranch - Tesla Supercharger,37.378052,-122.077578
