site_id,lat,lon,tier
J0,37.38171259999997,-122.0656985,3
J1,37.40160349999999,-122.1119777,3
J2,37.3700686,-122.08100989999998,4
J3,37.40258780000002,-122.11111870000002,4
J4,37.395021999999976,-122.07947130000001,3
J5,37.39506469999998,-122.0794465,3
J6,37.39303679999998,-122.077359,3
J7,37.392939000000034,-122.07743080000002,3
J8,37.393661600000016,-122.0769506,3
J9,37.39349809999998,-122.077056,3
J10,37.42961449999998,-122.07372460000002,3
J11,37.404256299999965,-122.1112317,5
J12,37.40522844444314,-122.08315588232044,3
J13,37.40006145129772,-122.07715656416138,5
J14,37.4196815089193,-122.07406603554928,5
J15,37.42342658525599,-122.07377621579968,3
J16,37.39518313660417,-122.09266436500174,5
J17,37.39369698541074,-122.09657057733061,3
J18,37.393988784531295,-122.09706621590678,3
J19,37.410597055330506,-122.07065049930785,4
J20,37.42474816912317,-122.07951627884611,3
J21,37.39334457514768,-122.05241976596974,3
J22,37.39953219987966,-122.0457762344808,3
J23,37.39809502301104,-122.04911835855219,3
J24,37.40093596824905,-122.0539120065348,3
J25,37.40115786072887,-122.05693882637675,3
J26,37.411540268824844,-122.0730303917026,3
J27,37.3812478705794,-122.06228593559489,3
J28,37.37264893050751,-122.08238110798051,3
J29,37.429909023219224,-122.07725724032122,3
J30,37.37275706442873,-122.0793578680227,3
J31,37.389813627196794,-122.08620215957683,3
J32,37.370677040111154,-122.08091478342621,3
J33,37.423194873537994,-122.0875288470451,5
J34,37.42284328877935,-122.0869855436182,5
J35,37.42167745699616,-122.08783827289787,5
J36,37.42195244844969,-122.08699990283345,5
J37,37.42140439265751,-122.08412093499112,5
J38,37.42002957813344,-122.08113461153616,5
J39,37.39474557134752,-122.0793685359079,4
J40,37.39338170692255,-122.08024935898715,1
J41,37.39376252294548,-122.07504134114194,3
J42,37.392938430425325,-122.07848174402775,1
J43,37.36821953390655,-122.07857530387193,3
J44,37.36071907808022,-122.0657352280692,3
J45,37.3604769361859,-122.06386225915124,3
J46,37.37322329913645,-122.08642194099922,3
J47,37.370633147605304,-122.08802634192878,3
J48,37.37589528075545,-122.06300496782171,3
J49,37.37529896849619,-122.06395349357238,5
J50,37.425337756645725,-122.07305344639097,3
J51,37.36860408275676,-122.08670954111967,3
J52,37.37125425114718,-122.09392085296476,3
J53,37.370629071828326,-122.08303880740537,4
J54,37.38851757822835,-122.08605480181899,3
J55,37.3903576328957,-122.0801021015234,3
J56,37.38538019980862,-122.08748039414385,3
J57,37.38999502600412,-122.06674771664596,3
J58,37.401264375824866,-122.09479224403503,3
J59,37.40211927954966,-122.0964447037398,3
