site_id,lat,lon,n_assigned,stn_demand,avg_dist_km,load_pct
J27,37.3812478705794,-122.06228593559489,3,328.5,0.383,65.7
J64,37.43250223766161,-122.08755277346737,1,50.0,1.381,10.0
J79,37.39453316266187,-122.05420108665398,2,195.2,0.465,39.0
J86,37.40293484780956,-122.06660007911546,5,224.3,0.771,44.9
J97,37.41987487484991,-122.0975469862737,2,98.4,0.507,19.7
J251,37.3752743491296,-122.06170878245378,3,235.1,0.365,47.0
J276,37.40681502685325,-122.09118703406068,6,267.6,0.386,53.5
J279,37.39670980000192,-122.09979823724794,6,436.0,0.47,87.2
J355,37.40929712181405,-122.09791756830278,3,206.5,0.419,41.3
J356,37.36960957000501,-122.07289408898944,3,173.3,0.6,34.7
J438,37.3870100530409,-122.08446461822356,4,295.6,0.487,59.1
J444,37.40190842489143,-122.10872190456368,4,422.3,0.416,84.5
J446,37.4089907089447,-122.1136848952835,4,317.0,0.46,63.4
J524,37.399548506672,-122.08610458813192,3,237.4,0.382,47.5
J548,37.36075205867711,-122.0683052867128,6,244.5,0.824,48.9
J610,37.38969745968409,-122.04704664824872,4,347.1,0.639,69.4
J642,37.39052717404613,-122.09403801301512,5,345.7,0.536,69.1
J698,37.37270114696196,-122.0887738384035,6,269.1,0.714,53.8
J707,37.39707749861598,-122.07170561053373,4,328.2,0.402,65.6
J718,37.388150691741565,-122.0733910881724,5,317.6,0.481,63.5
