site_id,lat,lon,n_assigned,stn_demand,avg_dist_km,load_pct
J21,37.39334457514768,-122.05241976596974,4,476.8,1.544,95.4
J27,37.3812478705794,-122.06228593559489,4,492.7,1.241,98.5
J61,37.37607198122853,-122.06561713676727,5,496.4,1.496,99.3
J164,37.38828225902966,-122.08313215376677,4,491.3,0.914,98.3
J169,37.38900296844845,-122.08254649064862,4,492.4,0.997,98.5
J241,37.399135297071076,-122.0714483883247,3,473.1,0.408,94.6
J248,37.391792413484765,-122.05922489659817,3,488.9,0.974,97.8
J251,37.375274349129604,-122.06170878245378,5,497.5,1.754,99.5
J366,37.41833126225556,-122.09122949147948,5,493.6,1.161,98.7
J367,37.398855173357695,-122.09493973805222,3,497.9,0.662,99.6
J437,37.3950646468951,-122.09766562537581,3,485.1,1.014,97.0
J442,37.38519460779222,-122.06097485107496,2,495.3,0.725,99.1
J444,37.40190842489143,-122.10872190456367,2,496.8,0.513,99.4
J446,37.4089907089447,-122.1136848952835,4,488.2,1.287,97.6
J467,37.404437522221414,-122.11404623382096,2,479.4,0.558,95.9
J526,37.3996909808381,-122.08647345371183,4,484.0,0.882,96.8
J610,37.38969745968409,-122.04704664824871,3,499.7,1.212,99.9
J642,37.390527174046134,-122.09403801301511,2,497.2,0.206,99.4
J664,37.39780287418252,-122.10512249230143,4,495.6,0.606,99.1
J705,37.39671380780923,-122.06964881489938,4,499.0,1.192,99.8
