site_id,lat,lon,n_assigned,stn_demand,avg_dist_km,load_pct
J27,37.3812478705794,-122.06228593559489,3,328.5,0.383,65.7
J44,37.36071907808022,-122.0657352280692,5,193.9,0.696,38.8
J60,37.40050694903162,-122.09782709614196,5,365.7,0.382,73.1
J181,37.389834538639974,-122.08391117923144,3,234.1,0.371,46.8
J195,37.403842479646,-122.06005645557299,4,187.8,0.768,37.6
J199,37.38222978460552,-122.08502407188479,5,301.5,0.682,60.3
J216,37.39053784831724,-122.0951852344047,4,261.9,0.496,52.4
J251,37.375274349129604,-122.06170878245378,3,235.1,0.365,47.0
J333,37.41105240500795,-122.09372903358974,7,397.8,0.612,79.6
J356,37.369609570005004,-122.07289408898943,2,160.7,0.314,32.1
J444,37.40190842489143,-122.10872190456367,3,324.6,0.325,64.9
J446,37.4089907089447,-122.1136848952835,4,317.0,0.46,63.4
J535,37.400756880335315,-122.08583825599213,5,308.6,0.45,61.7
J543,37.38995229349253,-122.06020999270562,2,187.9,0.42,37.6
J610,37.38969745968409,-122.04704664824871,4,347.1,0.639,69.4
J670,37.432486214693164,-122.09814601595858,2,96.8,1.392,19.4
J704,37.39726140083845,-122.07112959077847,6,437.6,0.526,87.5
J711,37.36672767482417,-122.0859316868238,5,176.1,0.694,35.2
J717,37.388018421442304,-122.07364160348298,4,252.0,0.404,50.4
J756,37.3976491773953,-122.10562025970117,3,224.7,0.474,44.9
