site_id,stn_demand,lambda_j,rho_total,rho_per_port,P_wait,W_q_hours,W_q_minutes,overload_risk
J27,328.5,11.7321,11.7321,1.9554,1.0,inf,inf,True
J64,50.0,1.7857,1.7857,0.2976,0.0107,0.0025,0.15,False
J79,195.2,6.9714,6.9714,1.1619,1.0,inf,inf,True
J86,224.3,8.0107,8.0107,1.3351,1.0,inf,inf,True
J97,98.4,3.5143,3.5143,0.5857,0.1801,0.0725,4.35,False
J251,235.1,8.3964,8.3964,1.3994,1.0,inf,inf,True
J276,267.6,9.5571,9.5571,1.5929,1.0,inf,inf,True
J279,436.0,15.5714,15.5714,2.5952,1.0,inf,inf,True
J355,206.5,7.375,7.375,1.2292,1.0,inf,inf,True
J356,173.3,6.1893,6.1893,1.0315,1.0,inf,inf,True
J438,295.6,10.5571,10.5571,1.7595,1.0,inf,inf,True
J444,422.3,15.0821,15.0821,2.5137,1.0,inf,inf,True
J446,317.0,11.3214,11.3214,1.8869,1.0,inf,inf,True
J524,237.4,8.4786,8.4786,1.4131,1.0,inf,inf,True
J548,244.5,8.7321,8.7321,1.4554,1.0,inf,inf,True
J610,347.1,12.3964,12.3964,2.0661,1.0,inf,inf,True
J642,345.7,12.3464,12.3464,2.0577,1.0,inf,inf,True
J698,269.1,9.6107,9.6107,1.6018,1.0,inf,inf,True
J707,328.2,11.7214,11.7214,1.9536,1.0,inf,inf,True
J718,317.6,11.3429,11.3429,1.8905,1.0,inf,inf,True
