site_id,stn_demand,lambda_j,rho_per_port,P_wait,W_q_minutes,overload_risk
J27,499.0,17.8214,2.9702,1.0,inf,True
J60,484.3,17.2964,2.8827,1.0,inf,True
J61,493.7,17.6321,2.9387,1.0,inf,True
J164,488.4,17.4429,2.9071,1.0,inf,True
J222,491.1,17.5393,2.9232,1.0,inf,True
J240,473.1,16.8964,2.8161,1.0,inf,True
J250,495.8,17.7071,2.9512,1.0,inf,True
J252,495.1,17.6821,2.947,1.0,inf,True
J366,498.1,17.7893,2.9649,1.0,inf,True
J372,485.1,17.325,2.8875,1.0,inf,True
J379,494.8,17.6714,2.9452,1.0,inf,True
J442,495.3,17.6893,2.9482,1.0,inf,True
J444,485.4,17.3357,2.8893,1.0,inf,True
J446,493.6,17.6286,2.9381,1.0,inf,True
J467,491.1,17.5393,2.9232,1.0,inf,True
J525,489.0,17.4643,2.9107,1.0,inf,True
J550,497.4,17.7643,2.9607,1.0,inf,True
J607,459.7,16.4179,2.7363,1.0,inf,True
J642,497.1,17.7536,2.9589,1.0,inf,True
J664,475.9,16.9964,2.8327,1.0,inf,True
