site_id,stn_demand,bg_served_baseline,bg_unserved_outage,demand_at_risk,unserved_demand,travel_cost_outage,travel_cost_delta,avg_dist_outage,bg_no_backup,bg_with_backup,is_critical
J27,328.5,79,0,328.5,0,2715.36,202.1,0.509,0,0,False
J64,50.0,79,0,50.0,0,2591.92,78.66,0.485,0,0,False
J707,328.2,79,0,328.2,0,2648.27,135.01,0.496,0,0,False
J698,269.1,79,0,269.1,0,2677.81,164.55,0.502,0,0,False
J642,345.7,79,0,345.7,0,2807.75,294.49,0.526,0,0,False
J610,347.1,79,0,347.1,0,2720.9,207.64,0.51,0,0,False
J548,244.5,79,0,244.5,0,2661.87,148.61,0.499,0,0,False
J524,237.4,79,0,237.4,0,2648.71,135.45,0.496,0,0,False
J446,317.0,79,0,317.0,0,2829.29,316.03,0.53,0,0,False
J444,422.3,79,0,422.3,0,2779.05,265.79,0.52,0,0,False
J438,295.6,79,0,295.6,0,2641.58,128.32,0.495,0,0,False
J356,173.3,79,0,173.3,0,2607.69,94.43,0.488,0,0,False
J355,206.5,79,0,206.5,0,2598.51,85.25,0.487,0,0,False
J279,436.0,79,0,436.0,0,2724.35,211.09,0.51,0,0,False
J276,267.6,79,0,267.6,0,2605.13,91.87,0.488,0,0,False
J251,235.1,79,0,235.1,0,2614.73,101.47,0.49,0,0,False
J97,98.4,79,0,98.4,0,2603.87,90.61,0.488,0,0,False
J86,224.3,79,0,224.3,0,2619.91,106.65,0.491,0,0,False
J79,195.2,79,0,195.2,0,2618.07,104.81,0.49,0,0,False
J718,317.6,79,0,317.6,0,2638.87,125.61,0.494,0,0,False
