block_group,site_id,haversine_km,road_km,ratio,diff_km
60855093042,J355,0.606,0.7749,1.2787,0.1689
60855094041,J444,0.4322,0.7269,1.6821,0.2948
60855094012,J446,0.3219,0.4247,1.3193,0.1028
60855094013,J444,0.5111,1.2102,2.3678,0.6991
60855091084,J79,0.4774,0.1864,0.3905,-0.291
60855095003,J642,0.5842,1.2504,2.1403,0.6662
60855096001,J438,0.0713,0.0314,0.441,-0.0398
60855097003,J718,0.5878,0.7441,1.2658,0.1562
60855098014,J698,0.5315,0.6591,1.2399,0.1275
60855091022,J610,0.3888,0.0,0.0,-0.3888
60855091061,J610,0.8647,2.328,2.6924,1.4634
60855091072,J251,0.3517,0.6165,1.7528,0.2648
60855091082,J86,0.2529,0.0486,0.1922,-0.2043
60855091081,J86,0.2426,0.4749,1.9578,0.2323
60855091083,J86,0.6136,0.8227,1.3407,0.2091
60855091091,J79,0.4527,0.9509,2.1004,0.4982
60855092011,J707,0.3263,1.0223,3.1331,0.696
60855092012,J707,0.6565,1.2706,1.9354,0.6141
60855092013,J707,0.0722,0.0,0.0,-0.0722
60855104001,J444,0.6908,0.3262,0.4723,-0.3646
60855104002,J279,1.0399,1.8378,1.7674,0.798
60855104003,J642,1.0868,1.3084,1.2039,0.2216
60855092014,J86,0.6897,2.3695,3.4357,1.6798
60855092021,J524,0.1568,0.0,0.0,-0.1568
60855092022,J524,0.6712,0.6189,0.9221,-0.0523
60855092023,J276,0.8775,1.3405,1.5277,0.463
60855092024,J276,0.3449,0.2614,0.7578,-0.0835
60855093032,J276,0.2275,0.248,1.0901,0.0205
60855094031,J279,0.4948,1.163,2.3503,0.6682
60855094042,J279,0.5964,0.7456,1.2502,0.1492
60855094043,J279,0.3529,0.455,1.2891,0.102
60855107003,J446,0.7561,0.0,0.0,-0.7561
60855095002,J642,0.3582,0.8043,2.2453,0.4461
60855095001,J524,0.3181,1.3907,4.3721,1.0726
60855096002,J438,0.6581,0.7722,1.1734,0.1141
60855097002,J718,0.244,0.3373,1.3826,0.0934
60855108022,J446,0.7002,3.889,5.5545,3.1889
60855097001,J718,0.338,0.4104,1.214,0.0723
60855098013,J438,0.5934,1.097,1.8486,0.5036
60855098021,J438,0.6253,0.6064,0.9697,-0.0189
60855098022,J698,0.6978,0.8122,1.1639,0.1144
60855099011,J698,0.5769,2.3058,3.9967,1.7289
60855099012,J698,0.3902,0.5786,1.4828,0.1884
60855099021,J356,0.5237,1.704,3.2538,1.1803
60855099022,J356,0.1052,0.1065,1.0118,0.0012
60855099023,J548,0.3944,0.5659,1.4346,0.1714
60855100011,J548,0.5301,6.9148,13.0434,6.3846
60855100012,J548,0.6259,0.847,1.3532,0.2211
60855100013,J548,1.3509,0.847,0.627,-0.5038
60855100015,J698,1.0111,1.1899,1.1768,0.1788
60855100016,J356,1.1698,1.5528,1.3274,0.383
60855084014,J548,1.2485,6.9148,5.5385,5.6663
60855084015,J548,0.7912,1.0186,1.2873,0.2273
60855102001,J698,1.0748,1.4154,1.3168,0.3405
60855093041,J97,0.162,0.0,0.0,-0.162
60855093021,J355,0.2657,0.482,1.8143,0.2164
60855094011,J446,0.0616,0.0,0.0,-0.0616
60855094044,J444,0.0309,0.0,0.0,-0.0309
60855047001,J86,2.0569,2.0857,1.014,0.0288
60855093034,J276,0.4466,0.6486,1.4521,0.2019
60855093031,J276,0.2933,0.551,1.8787,0.2577
60855098011,J642,0.0544,0.0,0.0,-0.0544
60855094032,J279,0.0939,0.1635,1.741,0.0696
60855091071,J27,0.6307,0.3776,0.5987,-0.2531
60855046011,J64,1.3808,0.6247,0.4524,-0.7562
60855098012,J642,0.5957,0.9957,1.6716,0.4001
60855093033,J276,0.1288,0.4542,3.5256,0.3254
60855091093,J718,0.7733,1.0099,1.306,0.2366
60855091111,J27,0.2968,0.3437,1.1581,0.0469
60855094033,J279,0.2429,0.8212,3.3801,0.5782
60855096003,J718,0.4628,0.5154,1.1137,0.0526
60855108014,J97,0.8529,0.5833,0.6838,-0.2697
60855091102,J251,0.3531,0.2688,0.7614,-0.0842
60855091092,J707,0.5547,1.6613,2.9951,1.1067
60855091112,J27,0.2203,0.3356,1.5237,0.1154
60855093022,J355,0.3865,0.6775,1.7528,0.291
60855091101,J251,0.3893,0.2082,0.5348,-0.1811
